"age","fish","srv1","maturity"
2,6.25671e-05,0.00736369,0.0037307
3,0.000300483,0.014693,0.00711441
4,0.00144179,0.0291034,0.0135255
5,0.00688816,0.0568319,0.025565
6,0.032244,0.108039,0.0478021
7,0.137969,0.195807,0.0876418
8,0.434659,0.328607,0.155271
9,0.78693,0.495932,0.260203
10,0.946643,0.664173,0.402277
11,0.988403,0.799017,0.562901
12,0.997563,0.888784,0.711334
13,0.999492,0.941398,0.825029
14,0.999894,0.969963,0.900225
15,0.999978,0.984828,0.945249
16,0.999995,0.992395,0.970619
17,0.999999,0.996202,0.984427
18,1,0.998107,0.9918
19,1,0.999057,0.995698
20,1,0.999531,0.997747
21,1,0.999767,0.998821
22,1,0.999884,0.999384
23,1,0.999942,0.999678
24,1,0.999971,0.999832
25,1,0.999986,0.999912
26,1,0.999993,0.999954
27,1,0.999996,0.999976
28,1,0.999998,0.999987
29,1,0.999999,0.999993
30,1,1,0.999997
31,1,1,0.999998
32,1,1,0.999999
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
