"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 3+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1977,"367,899","229,532","344,364","44.4","1,262,800",2268,"0.027",0.00658605429138934
1978,"387,984","256,949","342,338","49.8","604,371",12190,"0.129",0.0356080832393716
1979,"448,597","252,361","319,771","48.9","506,832",14904,"0.156",0.0466083541034052
1980,"536,489","251,578","467,174","48.7","496,002",35345,"0.278",0.0756570357083228
1981,"596,105","308,894","530,769","59.8","981,002",36131,"0.228",0.0680729281476499
1982,"666,234","398,420","573,142","77.1","981,855",29465,"0.181",0.0514095983194392
1983,"702,843","414,021","566,103","80.2","570,000",36540,"0.205",0.0645465577818878
1984,"753,449","432,127","655,604","83.7","699,229",23898,"0.123",0.0364518825388497
1985,"760,530","457,865","689,063","88.7","1,125,350",14428,"0.077",0.0209385789107817
1986,"786,725","497,409","701,106","96.3","444,091",25012,"0.125",0.0356750619735104
1987,"816,227","517,870","703,880","100.3","662,566",32939,"0.159",0.0467963289197022
1988,"845,182","531,579","781,235","102.9","733,584",33802,"0.158",0.0432673907339021
1989,"839,938","550,408","750,403","106.6","785,796",43293,"0.201",0.0576929996281998
1990,"801,170","533,471","720,902","103.3","849,847",72517,"0.279",0.100592036088123
1991,"750,211","479,861","672,371","92.9","496,059",76300.5,"0.308",0.113479760429882
1992,"725,674","439,659","645,569","85.1","500,158",80747.1,"0.339",0.125078961350375
1993,"708,781","424,366","651,975","82.2","375,499",56487.5,"0.268",0.0866405920472411
1994,"679,288","432,259","622,850","83.7","448,965",47484.64,"0.236",0.0762376816247893
1995,"641,051","436,573","598,546","84.5","614,606",68985.2,"0.311",0.11525463372907
1996,"569,401","391,473","520,001","75.8","389,634",68279.9,"0.332",0.131307247486063
1997,"523,091","341,529","464,383","66.1","396,960",68475.52,"0.319",0.14745483792473
1998,"444,086","269,372","404,014","52.2","316,265",62121,"0.344",0.15375952318484
1999,"394,747","237,743","350,563","46.0","577,215",68614.4,"0.462",0.195726303118127
2000,"360,248","213,533","312,560","41.3","573,622",54507.5,"0.426",0.174390517020732
2001,"356,364","200,688","293,189","38.9","495,890",41618.55,"0.356",0.141951266930205
2002,"379,910","197,534","315,773","38.2","303,613",42345.38,"0.360",0.134100698919794
2003,"389,894","195,215","337,870","37.8","367,079",52581.5,"0.355",0.1556264243644
2004,"348,192","191,513","315,509","37.1","426,752",56623.6,"0.420",0.179467463685663
2005,"311,004","183,257","269,561","35.5","550,204",47584.35,"0.307",0.176525350477257
2006,"249,486","141,123","208,378","27.3","725,197",47897,"0.480",0.229856318805248
2007,"257,368","124,081","199,237","24.0","489,954",52260.9,"0.558",0.262305194316317
2008,"287,118","112,836","214,105","21.8","688,836",59013.9,"0.605",0.27563064851358
2009,"326,772","121,808","273,563","23.6","390,700",53196.2,"0.547",0.194456852717656
2010,"365,593","151,886","302,558","29.4","446,613",78593,"0.586",0.25976176468644
2011,"394,309","182,687","349,515","35.4","696,395",85390,"0.570",0.244309972390312
2012,"398,698","197,147","336,445","38.2","1,332,300",77930.2,"0.533",0.231628349358736
2013,"414,466","199,624","331,229","38.7","924,050",68009.9,"0.492",0.205325922549052
2014,"486,477","204,481","362,849","39.6","367,286",84584.1,"0.416",0.233111018633095
2015,"455,312","171,967","384,688","33.3","223,547",79390.6,"0.381",0.206376596098657
2016,"350,920","162,064","322,095","31.4","511,796",64019.5,"0.279",0.198759682702308
2017,"191,168","110,250","167,140","21.3","322,429",48594.93,"0.555",0.290743867416537
2018,"172,440","96,749","129,919","18.7","361,458",15132.14,"0.264",0.116473648965894
2019,"184,803","93,876","146,718","18.2","207,419",15683.17,"0.156",0.106893291893292
2020,"141,337","68,011","111,174","13.2","314,651",6712.88,"0.190",0.060381743932934
2021,"150,093","76,038","127,738","14.7","472,916",23627,"0.467",0.184964536786234
2022,"160,755","79,747","124,128","15.4","507,565",23098.66,"0.365",0.18608742588296
2023,"169,832","70,100","119,302","13.6","507,565",18169.93,"0.334",0.152301973143786
2024,"190,367","68,234","143,063","13.2","507,565",17719.68,"0.334",0.123859278779279
2025,"210,198","82,277","162,894","15.9","507,565",25540.44,"0.379",0.156791778702715
2026,"219,770","92,760","172,468","18.0","507,565",32194.06,"0.404",0.186666859939235
2027,"221,290","95,032","173,989","18.4","507,565",33657.46,"0.409",0.193445907499899
2028,"220,855","94,810","173,555","18.4","507,565",33454.56,"0.408",0.192760565814871
2029,"220,554","94,538","173,254","18.3","507,565",33255.66,"0.408",0.191947429785171
2030,"220,467","94,447","173,167","18.3","507,565",33192.75,"0.407",0.19168057424336
2031,"220,456","94,432","173,156","18.3","507,565",33183.24,"0.406",0.19163782947169
2032,"220,458","94,432","173,158","18.3","507,565",33183.66,"0.407",0.191638041557422
2033,"220,459","94,433","173,159","18.3","507,565",33184.58,"0.407",0.191642247876229
2034,"220,460","94,434","173,159","18.3","507,565",33184.91,"0.407",0.191644153639141
2035,"220,460","94,434","173,159","18.3","507,565",33184.95,"0.407",0.191644384640706
2036,"220,460","94,434","173,159","18.3","507,565",33184.96,"0.407",0.191644442391097
