"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","Survey biomass",138.969622648351,148.083346826062,146.317056662423,146.425359684891,146.167419012856,146.291581501381,146.410187444761,146.128106090118,128.52486632251,144.778109597753,144.778202364383,124.16640365152,141.65144809345,138.969622648351,141.809017567712
"2","Total catch",-413.022615960669,-412.67451401544,-413.084993311848,-413.085015951344,-413.085014267792,-413.08639274398,-413.086450736498,-413.086491625445,-267.908570794888,-267.934044527761,-267.934063199136,-236.729815311962,-236.145934757316,-413.022615960669,-236.178709320073
"3","Age/length composition data",-19308.3577041707,-19321.7779242547,-19271.9275630206,-19272.0098873319,-19271.8100350125,-19271.5522445791,-19271.6421953333,-19271.4226612457,-13157.1285347481,-13124.2879989698,-13124.2866813202,-12767.1236000677,-12749.6042049163,-19308.3577041707,-12746.8181693781
"5","Non-parametric selectivity",170.671969513908,161.508989648576,176.425421594791,176.416231624599,176.438385969513,176.542047901286,176.532282824933,176.555552476293,148.973166250029,153.19952321017,153.200431662467,135.084551664537,127.79214020082,170.671969513908,129.156151856229
"6","Selectivity random walk deviates",-99.3069105033906,-98.9303095941916,-98.1695574937589,-98.1838101936492,-98.1491955973879,-98.1076788779873,-98.1237537397317,-98.084725297798,-60.840824399501,-60.9126142349715,-60.9124467330834,-53.0639107312785,-52.1239590678701,-99.3069105033906,-51.7576855716708
"8","Selectivity normalization",3.87991186911439e-11,7.3701581505989e-12,2.03539705138572e-11,6.58935504536628e-12,1.92696564874258e-11,1.92358928460806e-11,5.66961329310515e-11,1.11001905734212e-10,3.74937097249308e-13,9.39189477408992e-12,1.11937779453743e-12,9.90565228891132e-13,1.17375255034475e-11,3.87991186911439e-11,1.22970280431491e-09
"9","Catchability random walk deviates",-148.590391568652,-150.063842264174,-149.344280086477,-149.348126927775,-149.338904528881,-149.341326102318,-149.345014797454,-149.33592916929,-82.6858153127111,-83.9087595518306,-83.9083986793879,-72.1869370007277,-73.200790353528,-148.590391568652,-72.809121511392
"11","Recruitment deviates",175.377736475611,175.85912406947,177.139567572933,177.02794384198,177.296549247872,176.834003985896,176.724555345745,176.99206503884,108.922601481235,111.217745059681,111.217855317928,99.7342254280317,101.522056128071,175.377736475611,101.914258514208
"12","Initial abundance deviates",-9979942.12393405,-9979897.15538903,-9979902.45207743,-9979902.45988407,-9979902.43774981,-9979902.76330951,-9979902.74450244,-9979902.7906948,52.1410024530355,74.7543358859682,74.7548800727553,51.2918281564695,75.55088782227,67.8760659544013,76.5450539566074
"13","Fishing mortality deviates",147.150971827472,151.414652947128,149.790083268741,149.818383293565,149.750322449434,149.653993952431,149.691128642626,149.602647941744,44.4117702851928,45.3215439353385,45.3216253999138,33.2022558000568,35.8959172458872,147.150971827472,36.0362127542188
"20","jnll",-19269.2312557829,-19233.735865665,-19175.3063422431,-19175.3988060259,-19175.1682225411,-19175.5293244765,-19175.5837627855,-19175.4421305874,-13085.5903384624,-13007.7721595952,-13007.7685951144,-12685.6249984105,-12628.6624396041,-19269.2312557829,-12622.102991131
"21","k",602,602,602,602,602,602,602,602,446,446,446,410,410,602,410
