"","model....1.length.mod_list_all.","nll","k","aic","daic","aicW","M_pollock","M_atff","M_atfm","M_cod","M2_pollock","M2_atff","M2_atfm","M2_cod","M1_pollock","M1_atff","M1_atfm","M1_cod"
"1",1,68378.2765438056,605,137966.553087611,1.22402707347646,0.351554008522006,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"2",2,68373.6645302688,609,137965.329060538,0,0.648315128620723,0.526910321771845,0.304104568808537,0.381537953478604,0.45486399949048,0.56087056918022,0.0508889408173393,0.0754415658300528,0.243134085510328,0.332751919216693,0.295690300026572,0.368701157172087,0.39666671248182
"3",3,68384.340786943,609,137986.681573886,21.3525133482181,1.4967414817172e-05,0.530325084852529,0.309177253579948,0.386739109009424,0.46687970299578,0.5661492426687,0.0527820221460811,0.077919625105569,0.257996329948966,0.31698289747055,0.299437539468128,0.366635505375408,0.405201245397632
"4",4,68384.2590229253,609,137986.518045851,21.1889853128232,1.62426339449774e-05,0.530545073924298,0.309043877254853,0.386546237379111,0.466754635392517,0.563980694055167,0.0527609031434561,0.0778854414970803,0.257633765194098,0.318011754308601,0.299323887818739,0.366564518824286,0.405145897709814
"5",5,68384.4714707418,609,137986.942941484,21.6138809458935,1.31338345915583e-05,0.530557984194179,0.309300863967983,0.38694982624816,0.467052672697754,0.566826221359599,0.052835410116003,0.0780047929579877,0.258446450616673,0.316634325207768,0.299530519461421,0.366672230548169,0.405280727583077
"6",6,68383.6798024982,609,137985.359604996,20.0305444587138,2.89873618686746e-05,0.532435439364522,0.309367742974054,0.387152794243295,0.466416412897034,0.566776743162933,0.0527842040572384,0.0778580326535737,0.258534827624454,0.315457104977096,0.299434493069591,0.365979513649246,0.404559564707173
"7",7,68383.6172693455,609,137985.234538691,19.9054781532614,3.08579090947059e-05,0.532218963753102,0.309275283523753,0.386983550346876,0.46629662712948,0.566121114187717,0.052745576079603,0.0777975160069101,0.258217053829194,0.31579278324005,0.299369456641481,0.365967087446842,0.404506323178277
"8",8,68383.7629842636,609,137985.525968527,20.196907989477,2.66737029542652e-05,0.532896221372753,0.309482123815175,0.387374154516365,0.466580324478187,0.566935371596849,0.0528437843170275,0.0779513431075554,0.25896867387906,0.315330692427897,0.299509894028501,0.365980884590588,0.404630240355607
"9",9,53167.8692717242,447,107229.738543448,13.5321467535105,0.000841651468768244,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"10",10,53157.1031983474,451,107216.206396695,0,0.730467027838121,0.572525416962932,0.32162346965864,0.392250758565886,0.496786842985282,0.805291808804515,0.0454084612722254,0.0664891243344156,0.257033378280677,0.337376112914484,0.313939069427747,0.380720357939097,0.435508789262142
"11",11,53157.1033192272,452,107218.206638454,2.00024175949511,0.26869132069311,0.572524666940153,0.32162294531312,0.392250569255786,0.496786590108289,0.80530933985135,0.0454085327426575,0.0664892620977691,0.257033416225536,0.337371812985313,0.313938525728201,0.380720123305581,0.435508544737785
"12",12,45816.6082359556,411,92455.2164719113,0.0735442940786015,0.397867655746601,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"13",13,45812.5714638086,415,92455.1429276172,0,0.41277042790569,0.595304694764131,0.323801133257839,0.392082544594292,0.561436700802374,0.843713778624434,0.0368543065535626,0.0535492696165839,0.170451195857993,0.348492263432614,0.31740761789526,0.382548651023388,0.520175657224387
"14",14,45815.7056055865,415,92461.411211173,6.26828355579346,0.017970828347745,0.600624058096604,0.32713039076774,0.395696403772549,0.571799105873704,0.835284377242458,0.0378726250726852,0.0548324126539425,0.175023999360503,0.341296282923594,0.319806673122663,0.380851863890145,0.529440012609596
"15",15,45816.3556763248,415,92462.7113526496,7.5684250323975,0.00938093142920554,0.602178392685474,0.328062025600522,0.396772027659362,0.573940900881324,0.825505925560007,0.0382737172541198,0.0553709118062931,0.176564767317901,0.340598977751616,0.320428037850181,0.3803118290058,0.531192859354231
"16",16,45812.5066963542,416,92457.0133927085,1.87046509125503,0.162010156570758,0.592777060401024,0.324235526930447,0.392540824414309,0.561497541252158,0.836214738281413,0.0370250512549235,0.0538253593521826,0.170364145283331,0.347908615215204,0.317817412721885,0.382963689628333,0.520257389927309
