"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","Survey biomass","242.268286119586","262.366883087906","249.948930945877","250.385846841103","249.363176809368","249.491761142025","249.95124034781","248.865833272993","223.496681303513","231.318108577617","251.265185116541","252.045452847123","239.610502440922"
"2","Total catch","-411.426429183988","-412.219230194479","-410.64059744603","-410.636020815624","-410.649085313782","-410.63239210974","-410.62571226989","-410.639270614938","-266.641361071888","-267.307269625631","-267.054042134388","-267.035050053416","-267.072021458418"
"3","Age/length composition data","3790.09541595385","4027.30378927192","3812.0176641787","3812.26910962352","3811.66762721972","3804.74438262002","3805.20922273937","3804.19842381522","6230.34827372296","6346.40454221104","6352.25569689215","6351.10328418199","6328.57946550464"
"4","Non-parametric selectivity","165.168642676271","181.058645385094","167.57028683354","167.560943460707","167.5711428151","167.984258186129","167.986774428445","167.989479769046","154.563819888751","165.847478404756","165.979677645348","166.26813250775","162.850955916582"
"5","Selectivity random walk deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Selectivity random effect deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Selectivity normalization","1.68919574596927e-09","4.8010649869358e-08","2.76707426908723e-07","2.19154240445617e-07","6.25102704329967e-09","3.77615131209667e-08","4.96328288123793e-08","4.85326794113021e-08","8.70797320991108e-12","2.58377684461487e-10","1.20900581189687e-09","4.15517914082653e-10","2.36803627981676e-09"
"8","Catchability random walk deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Catchability random effect deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Recruitment deviates","176.903514538458","241.937429085674","224.258127609557","224.377089071439","224.038271035003","224.863467821945","224.981391129357","224.681804174804","107.762745153767","175.787961818693","175.223602843734","172.586006608535","164.348715078368"
"11","Initial abundance deviates","86.5479013098141","228.753912719071","359.611171783583","358.922567082083","360.715783954085","361.849179656417","361.097817683802","362.9151429703","58.3889162057593","164.750860998075","209.96870870012","214.456217542301","195.98144690464"
"12","Fishing mortality deviates","130.966656379402","131.481994319707","150.39964331314","150.471291285008","150.314452053979","150.498148771003","150.576610155404","150.392934674397","29.4088602119386","30.3926139581706","29.7056460241346","29.6770867414646","29.908416160965"
"13","SPR Calculation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Zero n-at-age penalty","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Ration","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Ration penalties","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Stomach content weight","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Stomach content numbers","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","k","488","488","488","488","488","488","488","488","370","370","370","370","371"
